,Month,Rainfall,forecast
1970-01-01 00:00:00.000000000,1901-01-01,28.7,
1970-01-01 00:00:00.000000001,1901-02-01,44.7,
1970-01-01 00:00:00.000000002,1901-03-01,51.6,
1970-01-01 00:00:00.000000003,1901-04-01,160.0,
1970-01-01 00:00:00.000000004,1901-05-01,174.7,
1970-01-01 00:00:00.000000005,1901-06-01,824.6,
1970-01-01 00:00:00.000000006,1901-07-01,743.0,
1970-01-01 00:00:00.000000007,1901-08-01,357.5,
1970-01-01 00:00:00.000000008,1901-09-01,197.7,
1970-01-01 00:00:00.000000009,1901-10-01,266.9,
1970-01-01 00:00:00.000000010,1901-11-01,350.8,
1970-01-01 00:00:00.000000011,1901-12-01,48.4,
1970-01-01 00:00:00.000000012,1902-01-01,6.7,
1970-01-01 00:00:00.000000013,1902-02-01,2.6,
1970-01-01 00:00:00.000000014,1902-03-01,57.3,
1970-01-01 00:00:00.000000015,1902-04-01,83.9,
1970-01-01 00:00:00.000000016,1902-05-01,134.5,
1970-01-01 00:00:00.000000017,1902-06-01,390.9,
1970-01-01 00:00:00.000000018,1902-07-01,1205.0,
1970-01-01 00:00:00.000000019,1902-08-01,315.8,
1970-01-01 00:00:00.000000020,1902-09-01,491.6,
1970-01-01 00:00:00.000000021,1902-10-01,358.4,
1970-01-01 00:00:00.000000022,1902-11-01,158.3,
1970-01-01 00:00:00.000000023,1902-12-01,121.5,
1970-01-01 00:00:00.000000024,1903-01-01,3.2,
1970-01-01 00:00:00.000000025,1903-02-01,18.6,
1970-01-01 00:00:00.000000026,1903-03-01,3.1,
1970-01-01 00:00:00.000000027,1903-04-01,83.6,
1970-01-01 00:00:00.000000028,1903-05-01,249.7,
1970-01-01 00:00:00.000000029,1903-06-01,558.6,
1970-01-01 00:00:00.000000030,1903-07-01,1022.5,
1970-01-01 00:00:00.000000031,1903-08-01,420.2,
1970-01-01 00:00:00.000000032,1903-09-01,341.8,
1970-01-01 00:00:00.000000033,1903-10-01,354.1,
1970-01-01 00:00:00.000000034,1903-11-01,157.0,
1970-01-01 00:00:00.000000035,1903-12-01,59.0,
1970-01-01 00:00:00.000000036,1904-01-01,23.7,
1970-01-01 00:00:00.000000037,1904-02-01,3.0,
1970-01-01 00:00:00.000000038,1904-03-01,32.2,
1970-01-01 00:00:00.000000039,1904-04-01,71.5,
1970-01-01 00:00:00.000000040,1904-05-01,235.7,
1970-01-01 00:00:00.000000041,1904-06-01,1098.2,
1970-01-01 00:00:00.000000042,1904-07-01,725.5,
1970-01-01 00:00:00.000000043,1904-08-01,351.8,
1970-01-01 00:00:00.000000044,1904-09-01,222.7,
1970-01-01 00:00:00.000000045,1904-10-01,328.1,
1970-01-01 00:00:00.000000046,1904-11-01,33.9,
1970-01-01 00:00:00.000000047,1904-12-01,3.3,
1970-01-01 00:00:00.000000048,1905-01-01,1.2,
1970-01-01 00:00:00.000000049,1905-02-01,22.3,
1970-01-01 00:00:00.000000050,1905-03-01,9.4,
1970-01-01 00:00:00.000000051,1905-04-01,105.9,
1970-01-01 00:00:00.000000052,1905-05-01,263.3,
1970-01-01 00:00:00.000000053,1905-06-01,850.2,
1970-01-01 00:00:00.000000054,1905-07-01,520.5,
1970-01-01 00:00:00.000000055,1905-08-01,293.6,
1970-01-01 00:00:00.000000056,1905-09-01,217.2,
1970-01-01 00:00:00.000000057,1905-10-01,383.5,
1970-01-01 00:00:00.000000058,1905-11-01,74.4,
1970-01-01 00:00:00.000000059,1905-12-01,0.2,
1970-01-01 00:00:00.000000060,1906-01-01,26.7,
1970-01-01 00:00:00.000000061,1906-02-01,7.4,
1970-01-01 00:00:00.000000062,1906-03-01,9.9,
1970-01-01 00:00:00.000000063,1906-04-01,59.4,
1970-01-01 00:00:00.000000064,1906-05-01,160.8,
1970-01-01 00:00:00.000000065,1906-06-01,414.9,
1970-01-01 00:00:00.000000066,1906-07-01,954.2,
1970-01-01 00:00:00.000000067,1906-08-01,442.8,
1970-01-01 00:00:00.000000068,1906-09-01,131.2,
1970-01-01 00:00:00.000000069,1906-10-01,251.7,
1970-01-01 00:00:00.000000070,1906-11-01,163.1,
1970-01-01 00:00:00.000000071,1906-12-01,86.0,
1970-01-01 00:00:00.000000072,1907-01-01,18.8,
1970-01-01 00:00:00.000000073,1907-02-01,4.8,
1970-01-01 00:00:00.000000074,1907-03-01,55.7,
1970-01-01 00:00:00.000000075,1907-04-01,170.8,
1970-01-01 00:00:00.000000076,1907-05-01,101.4,
1970-01-01 00:00:00.000000077,1907-06-01,770.9,
1970-01-01 00:00:00.000000078,1907-07-01,760.4,
1970-01-01 00:00:00.000000079,1907-08-01,981.5,
1970-01-01 00:00:00.000000080,1907-09-01,225.0,
1970-01-01 00:00:00.000000081,1907-10-01,309.7,
1970-01-01 00:00:00.000000082,1907-11-01,219.1,
1970-01-01 00:00:00.000000083,1907-12-01,52.8,
1970-01-01 00:00:00.000000084,1908-01-01,8.0,
1970-01-01 00:00:00.000000085,1908-02-01,20.8,
1970-01-01 00:00:00.000000086,1908-03-01,38.2,
1970-01-01 00:00:00.000000087,1908-04-01,102.9,
1970-01-01 00:00:00.000000088,1908-05-01,142.6,
1970-01-01 00:00:00.000000089,1908-06-01,592.6,
1970-01-01 00:00:00.000000090,1908-07-01,902.2,
